
Code 	Short Name                	Long Name                                         	North Carolina Totals	  Alamance	 Alexander	 Alleghany	     Anson	      Ashe	Atlantic Ocean	     Avery	  Beaufort	    Bertie	    Bladen	 Brunswick	  Buncombe	     Burke	  Cabarrus	  Caldwell	    Camden	  Carteret	   Caswell	   Catawba	   Chatham	  Cherokee	    Chowan	      Clay	 Cleveland	  Columbus	    Craven	Cumberland	 Currituck	      Dare	  Davidson	     Davie	    Duplin	    Durham	 Edgecombe	   Forsyth	  Franklin	    Gaston	     Gates	    Graham	 Granville	    Greene	  Guilford	   Halifax	   Harnett	   Haywood	 Henderson	  Hertford	      Hoke	      Hyde	   Iredell	   Jackson	  Johnston	     Jones	       Lee	    Lenoir	   Lincoln	     Macon	   Madison	    Martin	  Mcdowell	Mecklenburg	  Mitchell	Montgomery	     Moore	      Nash	New Hanover	Northampton	    Onslow	    Orange	   Pamlico	Pasquotank	    Pender	Perquimans	    Person	      Pitt	      Polk	  Randolph	  Richmond	   Robeson	Rockingham	     Rowan	Rutherford	   Sampson	  Scotland	    Stanly	    Stokes	     Surry	     Swain	Transylvania	   Tyrrell	     Union	     Vance	      Wake	    Warren	Washington	   Watauga	     Wayne	    Wilkes	    Wilson	    Yadkin	    Yancey
-----	--------------------------	--------------------------------------------------	---------------------	----------	----------	----------	----------	----------	--------------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	-----------	----------	----------	----------	----------	-----------	-----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	------------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
00001	HSAMPLOC FT FROM  RT BANK 	X-SEC. LOC., HORIZ (FT. FROM R BANK LOOK UPSTR.)  	                    1	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00002	HSAMPLOC % FROM   RT BANK 	X-SEC. LOC., HORIZ (% FROM R BANK LOOK UPSTR.)    	                15472	         0	         0	         0	         0	         0	             0	        30	         0	         0	         0	         0	       475	         0	         0	         0	         0	         0	         0	         0	         0	      3962	         0	      2559	         0	         0	         0	         0	         0	         0	         0	        22	         0	         0	         0	       176	         0	       106	         0	      2291	         0	         0	         0	         0	         0	       565	       151	        32	         0	        21	         0	       920	        18	         0	         0	         0	         0	      1046	       144	         0	         0	        205	        83	         0	         0	         0	          0	        367	       235	         0	         0	         0	       230	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	      1327	         224	         3	         0	         0	        10	        19	         1	       115	         2	         0	         0	        56	        77
00004	STREAM   WIDTH    FEET    	STREAM WIDTH (FEET)                               	                   30	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         30	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00005	VSAMPLOC DEPTH    % OF TOT	X-SEC. LOC., VERTICAL (PERCENT OF TOTAL DEPTH)    	                  115	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	         96	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           0	         0	         0	         0	         0	        19	         0	         0	         0	         0	         0	         0	         0
00008	LAB      IDENT.   NUMBER  	NUMBER USED IN SAMPLE ACCOUNTING PROCEDURE        	                 4116	         6	        18	         0	        13	         0	             0	         0	         0	         0	         0	       164	        21	        90	         0	        27	         0	       537	         2	        90	         0	       326	         0	       707	        42	        12	         4	        14	         0	         0	        35	         0	         0	         4	         0	         0	         0	       351	         0	       160	         0	         0	        13	         0	         0	        61	         0	         0	         0	         0	         4	        72	        12	         0	         0	         0	        17	        48	        11	         0	        40	        424	        10	         9	         0	         0	        105	          0	         0	         1	         0	         0	         0	         0	         0	         2	        17	         1	        15	         0	         7	        13	         6	         0	         0	       155	         0	         0	       357	          11	         0	         8	        14	        38	         0	         0	        13	         4	         2	         1	         0	         2
00010	WATER    TEMP     CENT    	TEMPERATURE, WATER (DEGREES CENTIGRADE)           	                97696	        55	        18	         2	        13	         0	             0	        34	         0	         6	       246	      1473	       534	        90	        65	         5	         0	       855	         0	        90	     10407	     34306	         0	      4820	         1	       263	       425	         0	         0	         0	      1074	        52	       180	      1256	         0	       183	         1	       801	         4	      4994	       232	       128	        18	         0	         0	       669	       239	       380	         0	       166	        49	       971	      1926	       161	         0	       320	        27	      1440	       175	         0	       385	        554	        83	        18	         0	         0	        419	        663	       706	        53	       119	        19	       841	        11	         0	       128	        17	         9	        42	         0	         5	        65	         4	       120	         0	       210	         0	        96	     12687	         752	         1	       191	        19	      6488	        19	         2	       142	       269	      2820	       384	        68	       133
00011	WATER    TEMP     FAHN    	TEMPERATURE, WATER (DEGREES FAHRENHEIT)           	                 4990	         1	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	        55	         0	         0	         0	         0	         0	         0	         0	       426	         0	         0	        67	         0	         0	         5	         0	         0	         0	       900	         0	         0	       534	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        18	      1287	         0	         0	         0	         0	       245	         0	         0	         8	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        40	         277	         0	         0	         0	      1086	         0	         0	         0	         0	         0	         0	         0	        41
00016	DT FROM  NATURAL  CENT    	TEMP. DIFFERENCE BETWEEN SAMPLE AND UPSTREAM PT.  	                    1	         0	         0	         0	         0	         0	             0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	           1	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
00019	SAMPLE   WEIGHT   GRAMS   	SAMPLE WEIGHT IN GRAMS                            	                  196	         0	         0	         0	         0	         0	             8	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        29	         0	        20	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        24	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	          0	         0	         0	         0	         0	          0	          0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	        19	         0	        96	           0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0	         0
