EVERGLADES, FLORIDA

Monthly Total Precipitation (inches)

(082850)

File last updated on May 16, 
*** Note *** Provisional Data *** After Year/Month 201204 
a = 1 day missing, b = 2 days missing, c = 3 days, ..etc.., 
z = 26 or more days missing, A = Accumulations present 
Long-term means based on columns; thus, the monthly row may not 
sum (or average) to the long-term annual value. 
MAXIMUM ALLOWABLE NUMBER OF MISSING DAYS : 5 
Individual Months not used for annual or monthly statistics if more than 5 days are missing. 
Individual Years not used for annual statistics if any month in that year has more than 5 days missing.
YEAR(S)	JAN	FEB	MAR	APR	MAY	JUN	JUL	AUG	SEP	OCT	NOV	DEC	ANN
1924	0.00	z	0.60		0.41		0.74		3.72		7.14		0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	12.61
1925	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00
1926	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	0.00	z	1.46		0.05		1.51
1927	0.28		1.11		1.56		1.23		1.60		3.16		8.53		8.00		6.49		4.51		1.17		0.26		37.90
1928	0.02		0.00		0.77		2.49		2.76		8.85		10.95		11.81		15.21		2.58		0.06		0.86		56.36
1929	0.28		0.25		0.94		0.73		4.97		12.62		5.87		7.78		17.06		6.28		0.73		1.30		58.81
1930	1.96		2.53		5.89	z	1.32		6.56		11.03		9.00		10.12		13.05	i	5.08		0.31		1.50		49.41
1931	6.32		1.94		7.60		3.34		3.72		5.25		6.90		5.63		5.53		1.62		0.73		1.09		49.67
1932	1.47		0.20		1.53		0.46		11.24		11.02		3.77		14.61		7.98		4.62		3.02		0.28		60.20
1933	0.07		0.18		4.06		2.98		5.27		7.61		9.78		8.38		5.19		5.15		1.06		0.00		49.73
1934	0.50		1.11		1.25		0.94		12.88		8.52		8.87		9.38		12.95		0.48		0.00		0.00		56.88
1935	0.00		0.73	a	0.00		2.94		3.36		5.15		15.03		4.78	a	17.68		2.30		0.14		3.25		55.36
1936	2.18		3.30		4.25		0.22		8.06		24.73		5.68	a	5.01		4.97	b	4.32		2.30		0.18		65.20
1937	1.84		2.28		2.83		0.61		5.03		10.97		5.84		8.60		6.04		5.00		2.21		0.38		51.63
1938	0.73		0.74		1.80		0.00		5.76		5.95		15.12		5.62		5.91		5.01		2.25		0.00		48.89
1939	1.40		0.00		0.62		1.69		3.01		7.36		8.25		12.27		8.23		7.37		0.50		0.00		50.70
1940	3.08		2.68		1.42		0.65		2.65		12.61		3.78		6.26		16.01		0.42		0.00		5.13		54.69
1941	5.10		3.46		4.61		6.17		0.00		4.22		3.34		4.92		9.38		7.06		2.05		0.00		50.31
1942	2.42		1.90		1.76		0.70		2.88		12.24		5.74		3.74		2.70		0.32		1.35		0.75		36.50
1943	2.04		1.26		0.67		3.86		2.87		10.02		5.79		4.98		3.71		3.99		1.10		0.35		40.64
1944	0.82		0.04		1.25		1.11		6.24		8.58		4.61		6.71		5.09		5.31		0.19		2.29		42.24
1945	3.38		0.92		0.04		5.91		0.97		4.77		10.41		8.03		16.17		4.15		0.65		2.02		57.42
1946	1.02		1.27		1.22		0.45		4.85		10.63		11.99		7.90		10.24		1.93	c	0.51	g	2.53		54.03
1947	0.78		1.49		5.77		5.95		3.28		11.88		7.99		8.16		12.38		10.96		7.62		1.93		78.19
1948	1.88		0.14		0.19		2.73		3.45		4.02		12.48		7.74		18.90		3.74		1.57		0.65		57.49
1949	0.04		0.10		0.05		1.17		4.54		12.54		9.97	a	9.45		13.86		2.81		0.48		3.75		58.76
1950	0.00	n	1.42		0.22		0.68		2.81		4.18		9.26	k	7.68		5.31		7.41		1.51	l	2.61	a	32.32
1951	0.46		0.24		0.71		4.47		2.41		2.54		10.56		5.76		6.16		2.89		1.07		0.23		37.50
1952	0.43		5.36		3.37		1.21		3.10		7.17		9.13		2.97		15.28		8.94		0.77		1.04		58.77
1953	2.79		1.91		6.20		7.56		2.09		6.54		5.83		8.65		14.44		3.44		1.10		0.02	x	60.55
1954	0.05		0.49	S	6.00		7.87		11.33		9.56		7.52		7.28		9.52		3.03		0.79		0.91		64.35
1955	0.73		0.35		0.14		2.17	a	4.00		13.59		6.63		7.17		9.20		3.64		0.75		2.11		50.48
1956	1.64		0.78		0.09		4.67		8.60		3.43		4.77		6.62		3.84		4.57		0.77		0.14		39.92
1957	0.39		4.84		0.75		1.64		6.98		5.99		6.92		7.34		6.69		6.68		0.14		2.15		50.51
1958	6.81		1.07		5.30		0.81		12.88		8.45		8.68		13.02		8.69		5.11		0.11	b	4.05		74.98
1959	1.51	c	0.50		2.06		0.97		8.87		16.41		7.90		8.34		5.35		8.30		3.04		0.36		63.61
1960	0.34		1.42		3.09		3.84		2.24		9.68		17.45		3.12		0.00	z	0.00	z	4.16		1.01		46.35
1961	2.15		0.60		0.65		0.00		4.54		6.05		10.41		6.08		7.45		2.40		1.00		0.10		41.43
1962	1.00		0.25		2.30		0.65		2.40		14.35		9.07		7.39		14.12		2.90		1.79		0.67		56.89
1963	1.06		7.83		0.05		0.19		5.82		3.17		2.75		7.58		18.80		1.17		2.43		1.87		52.72
1964	1.49		1.37		0.92		0.23		6.35		10.94		9.70		5.36		6.30		5.63		1.41		0.64		50.34
1965	0.78		2.99		0.66		2.24		1.49		6.54		8.58		6.74		7.74		5.16		0.63		0.37		43.92
1966	3.91		2.09		0.39		3.17		4.54		20.78		14.55		3.45		6.33		4.20		0.17		0.18		63.76
1967	1.20		1.60		0.61		0.00		0.25		13.33		8.63		4.68		9.38		2.97		1.46		1.46		45.57
1968	1.65		2.94		1.14		0.00	z	9.43		16.12		5.47		7.31		14.59		9.03		1.15		0.15		68.98
1969	1.80		1.53		2.06		2.08		5.45		23.47		5.25		11.12		3.71		6.06		0.57		0.51		63.61
1970	1.79		1.24		7.62	a	0.00		5.21		3.41		10.94		4.55		5.82		4.76		0.43		0.00		45.77
