Site ,TRANSECT,DATE,Year,CountL,CountS,FirstOfTransectLenght,TotalPoints,DensityLargeLeaves,DensityAllGalax,PercentLarge
A,1,5/19/2010,2010,0,0,14,28,0,0,NA
A,2,5/19/2010,2010,0,1,40.3,80,0,0.01,0
A,3,5/19/2010,2010,0,0,7,14,0,0,NA
A,5,5/19/2010,2010,0,2,4,8,0,0.25,0
A,7,5/18/2010,2010,0,0,5,10,0,0,NA
A,8,5/18/2010,2010,0,3,26,52,0,0.06,0
A,9,5/18/2010,2010,0,4,3.3,6,0,0.67,0
A,10,5/18/2010,2010,0,0,7,14,0,0,NA
B,1,5/19/2010,2010,0,2,10.9,21,0,0.1,0
B,2,5/19/2010,2010,0,2,10,20,0,0.1,0
B,3,5/19/2010,2010,0,6,9.5,19,0,0.32,0
B,4,5/19/2010,2010,0,8,30,60,0,0.13,0
B,5,5/19/2010,2010,0,26,38.5,77,0,0.34,0
B,6,5/19/2010,2010,1,11,10,20,0.05,0.6,0.08
B,7,5/19/2010,2010,1,8,47,94,0.01,0.1,0.11
B,8,5/19/2010,2010,0,1,10,20,0,0.05,0
B,9,5/19/2010,2010,0,1,7.5,15,0,0.07,0
C,1,5/4/2010,2010,0,1,6.3,12,0,0.08,0
C,2,5/4/2010,2010,0,1,27.5,55,0,0.02,0
C,3,5/4/2010,2010,1,1,5,10,0.1,0.2,0.5
C,4,5/4/2010,2010,2,0,21.1,42,0.05,0.05,1
C,8,5/5/2010,2010,2,1,21.6,43,0.05,0.07,0.67
C,9,5/5/2010,2010,2,0,30,60,0.03,0.03,1
C,10,5/5/2010,2010,1,0,13,26,0.04,0.04,1
D,1,5/6/2010,2010,1,7,48,96,0.01,0.08,0.13
D,2,5/6/2010,2010,2,2,20,40,0.05,0.1,0.5
D,3,5/6/2010,2010,11,4,33,66,0.17,0.23,0.73
D,4,5/6/2010,2010,3,2,19.5,39,0.08,0.13,0.6
D,5,5/6/2010,2010,3,4,42.5,85,0.04,0.08,0.43
D,6,5/6/2010,2010,2,9,24,48,0.04,0.23,0.18
D,7,5/6/2010,2010,0,3,25.5,51,0,0.06,0
D,8,5/6/2010,2010,2,6,24,48,0.04,0.17,0.25
D,10,5/6/2010,2010,0,0,17,34,0,0,NA
E,1,4/29/2010,2010,0,2,4.9,9,0,0.22,0
E,2,4/29/2010,2010,2,4,21.3,42,0.05,0.14,0.33
E,3,4/29/2010,2010,1,1,6,12,0.08,0.17,0.5
F,1,5/10/2010,2010,4,25,46.5,93,0.04,0.31,0.14
F,2,5/10/2010,2010,1,19,28.1,56,0.02,0.36,0.05
F,3,5/10/2010,2010,0,29,62.7,125,0,0.23,0
F,4,5/12/2010,2010,4,10,37.4,74,0.05,0.19,0.29
F,5,5/12/2010,2010,0,51,80,160,0,0.32,0
F,6,5/12/2010,2010,4,34,74,148,0.03,0.26,0.11
F,7,5/13/2010,2010,3,36,79.05,158,0.02,0.25,0.08
F,8,5/13/2010,2010,1,30,68,136,0.01,0.23,0.03
F,9,5/13/2010,2010,3,34,80,160,0.02,0.23,0.08
F,10,5/13/2010,2010,0,20,58,116,0,0.17,0
G,1,4/21/2010,2010,0,0,18.5,37,0,0,NA
G,2,4/21/2010,2010,0,0,53,106,0,0,NA
G,3,4/21/2010,2010,0,0,32,64,0,0,NA
G,4,4/21/2010,2010,0,0,28.5,57,0,0,NA
G,5,4/21/2010,2010,0,0,8,16,0,0,NA
H,2,11/1/2010,2010,0,1,10,20,0,0.05,0
H,3,11/1/2010,2010,0,0,3,6,0,0,NA
H,4,11/1/2010,2010,0,1,5.8,11,0,0.09,0
H,5,11/1/2010,2010,0,0,3,6,0,0,NA
H,7,11/1/2010,2010,0,0,10,20,0,0,NA
H,10,11/1/2010,2010,1,1,15,30,0.03,0.07,0.5
